#name	icon	title	link	text
one	spa-towel	village cuisine	nourishment	Simple vegetarian food made in an open kitchen.
two	spa-sandals	what brought us here	relief-foundation	We, Relief Foundation have been engaging with children, youth and families since 2014.
tre	spa-cup-flower	simple rural setting	our/ethos	Enjoy the beauty of Narasingapuram where the birds beckon, and twilight twinkles.
for	spa-meditation	connect with nature	the/village-experience	Multiple ways to connect with nature, both on and off campus.
fiv	spa-comb	membership	why-join	A place for much healing - outward and inward - come be a "friend" to all.
six	spa-flowers-feet	family time	your/self-and-family-time	Where time slows, perspectives change and we come away the better for it.
